sample,mean_COI,median_COI,sd_COI,Quartile_0.025,Quartile_0.975,,region,country
PD0960-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD0961-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0962-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0963-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0964-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD0965-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0966-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0967-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0968-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0969-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0970-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0971-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0972-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0973-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0974-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD0976-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD0977-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0978-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD0979-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0980-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0981-C,1,1,0.39329,1,2,Ploidy2,South East Asia West,Thailand
PD0982-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0983-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0984-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0985-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0986-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0987-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0988-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0989-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0990-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0991-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0992-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD0994-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0995-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0996-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0997-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0998-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD0999-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1000-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1001-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1002-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1003-C,2,2,0.24308,1,2,Ploidy2,South East Asia West,Thailand
PD1004-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1005-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1006-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1007-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1008-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1009-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1010-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1011-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1012-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1013-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1014-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1015-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1016-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1017-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1018-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1019-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1020-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1021-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1022-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1023-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1024-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1025-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1026-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1027-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1028-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1029-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1030-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1031-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1032-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1033-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1034-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1035-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1036-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1037-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1038-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1039-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1040-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1041-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1042-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1043-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1044-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1045-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1046-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1047-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1048-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1049-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1050-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1051-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1052-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1053-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1054-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1055-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1056-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1057-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1058-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1059-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1060-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1061-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1062-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1063-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1064-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1065-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1066-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1067-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1068-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1069-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1070-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1071-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1072-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1073-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1074-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1075-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1076-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1077-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1078-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1079-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1080-C,2,1,1.07461,1,5,Ploidy2,South East Asia West,Thailand
PD1081-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1082-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1083-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1084-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1085-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1086-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1087-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1088-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1089-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1090-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1091-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1092-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1093-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1094-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1095-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1096-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1097-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1098-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1099-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1100-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1101-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1102-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1103-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1104-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1105-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1106-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1107-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1108-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1109-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1110-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1111-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1112-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1113-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1114-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1116-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1117-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1118-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1119-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1120-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1121-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1122-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1124-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1125-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1126-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1127-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1128-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1129-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1130-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1131-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1133-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1134-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1135-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1136-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1137-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1138-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1139-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1140-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1141-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1142-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1143-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1144-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1145-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1146-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1147-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1148-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1149-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1150-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1151-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1152-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1153-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1155-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1156-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1157-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1158-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1159-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1160-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1161-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1162-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1163-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1164-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1165-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1166-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1167-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1168-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1169-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1170-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1171-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1172-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1173-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1174-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1175-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1176-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1177-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1178-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1179-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1180-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1181-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1182-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1183-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1184-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1185-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1186-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1187-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1188-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1189-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1190-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1191-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1192-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1193-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1194-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1195-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1196-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1197-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1198-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1199-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1200-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1201-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1202-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1203-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1204-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1205-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1206-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1208-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1209-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1210-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1211-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1212-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1213-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1214-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1215-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1216-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1217-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1218-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1219-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1220-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1221-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1222-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1223-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1224-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1225-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1226-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1227-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1228-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1229-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1230-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1231-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1232-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1233-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1234-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1236-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1237-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1239-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1240-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1241-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1243-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1244-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1246-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1247-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1249-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1250-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1251-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1252-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1253-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1254-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1255-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1256-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1257-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1258-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1259-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1260-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1261-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1262-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1263-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1264-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1265-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1266-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1267-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1268-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1269-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1270-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1271-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1273-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1274-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1275-C,5,2,4.90323,1,17,Ploidy2,South East Asia West,Thailand
PD1276-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1277-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1278-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1279-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1280-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1281-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1282-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1283-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1284-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1285-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1286-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1288-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1289-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1290-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1291-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1292-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1293-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1294-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1295-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1296-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1297-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1299-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1300-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1301-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1302-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1304-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1305-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1306-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1307-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1308-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1309-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1310-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1311-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1312-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1313-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1314-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1318-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1319-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1322-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1326-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1328-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1329-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1330-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1331-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1332-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1333-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1335-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1337-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1338-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1339-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1340-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1341-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1343-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1345-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1346-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1347-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1348-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1350-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1353-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1354-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1355-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1356-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1357-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1358-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1360-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1361-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1364-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1365-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1366-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1368-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1372-C,12,11,6.429,1,25,Ploidy2,South East Asia West,Thailand
PD1373-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1376-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1379-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1380-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1382-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1386-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1387-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1388-C,2,2,0,2,2,Ploidy2,South East Asia West,Thailand
PD1390-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1391-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1392-C,1,1,0.40243,1,2,Ploidy2,South East Asia West,Thailand
PD1394-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
PD1397-C,1,1,0,1,1,Ploidy2,South East Asia West,Thailand
