sample,mean_COI,median_COI,sd_COI,Quartile_0.025,Quartile_0.975,,region,country
PA0013-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0014-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0015-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0016-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0017-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0018-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0020-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0021-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0022-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0026-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0027-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0028-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0029-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0030-C,5,5,0.31675,4,5,Ploidy2,West Africa,The Gambia
PA0032-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0034-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0036-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0037-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0038-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0039-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0040-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0041-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0042-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0044-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0045-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0046-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0047-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0049-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0050-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0051-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0052-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0053-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0054-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0056-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0057-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0059-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0060-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0061-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0063-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0064-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0065-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0066-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0067-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0068-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0069-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0071-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0072-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0073-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0074-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0075-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0078-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0079-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0080-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0081-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0084-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0085-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0086-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0087-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0089-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0090-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
